Title,Summary,Publication Date,Source,URL
Israel intercepts Hezbollah missile near Tel Aviv in first such attack,,,CNN,https://edition.cnn.com/world/live-news/israel-lebanon-hezbollah-09-24-24-intl-hnk/index.html
More top stories,,,CNN,https://edition.cnn.com/2024/09/25/uk/labour-conference-keir-starmer-gbr-intl-cmd/index.html
Featured,,,CNN,https://edition.cnn.com/2024/09/25/weather/video/forecast-tropical-storm-helene-florida-digvid
Featured Sections,,,CNN,https://edition.cnn.com/2024/09/24/us/video/deer-stuck-upside-down-rescue-talat-digvid
Space and science,,,CNN,https://edition.cnn.com/2024/09/24/us/video/deer-stuck-upside-down-rescue-talat-digvid
Global Travel,,,CNN,https://www.cnn.com/travel
Global Business,,,CNN,https://edition.cnn.com/travel/what-vaccines-do-you-need-for-travel/index.html
Style,,,CNN,https://edition.cnn.com/2024/09/24/tech/tiktok-russian-media-accounts-us-election/index.html
SPORT,,,CNN,https://www.cnn.com/sport
US Politics,,,CNN,https://edition.cnn.com/2024/09/25/sport/nfl-week-3-takeaways-spt-intl/index.html
health and wellness,,,CNN,https://edition.cnn.com/2024/09/24/politics/trump-us-business-tariffs-taxes/index.html
Tech,,,CNN,https://edition.cnn.com/2024/09/23/health/enterovirus-d68-paralysis-children-virus-wellness/index.html
Photos You Should See,,,CNN,https://edition.cnn.com/2024/09/23/tech/voiceitt-voice-recognition-speech-impairments-spc/index.html
In Case You Missed It,,,CNN,https://edition.cnn.com/world/gallery/arabian-oryx-photos-c2e/index.html
Israel carrying out 'extensive' strikes in Lebanon after Hezbollah fires missile at Tel Aviv,,,BBC,https://www.bbc.com/news/live/c5y32qew9z2t
"Bowen: Israel is gambling Hezbollah will crumple but it faces a well-armed, angry enemy",,,BBC,https://www.bbc.com/news/articles/c93pg1qpxxzo
Thai king signs same-sex marriage bill into law,,,BBC,https://www.bbc.com/news/articles/cn03we6zpk1o
Why Pakistan's female doctors don't feel safe,,,BBC,https://www.bbc.com/news/articles/c5y9g751xg4o
Boeing strikers not interested in 30% pay rise - union,,,BBC,https://www.bbc.com/news/articles/cwyl7w036y4o
"Bowen: Israel is gambling Hezbollah will crumple but it faces a well-armed, angry enemy",,,BBC,https://www.bbc.com/news/articles/c93pg1qpxxzo
Death of Indian employee sparks debate on 'toxic work culture',,,BBC,https://www.bbc.com/news/articles/c0kjgp4jr5yo
